semester_id,student_id,sem,sem_earned,sem_points,semester_attempted,sem_gpa,program_grade_date
729,,2001-1,3,6,3,2.96,
730,,2001-2,3,12,3,4,
731,,2000-1,3,11.25,3,3.15,
732,,2000-2,3,10.5,3,3.1,
733,,2000-2,3,10.5,3,3.1,
734,,2003-2,3,9,3,3.29,
735,,2004-1,3,10.5,3,3.05,
736,,2003-1,3,7.5,3,2.65,
737,,2003-2,3,9,3,3.29,
738,,2004-1,3,11.25,3,3.05,
739,,2004-1,3,9,3,3.05,
740,,2003-2,3,11.25,3,3.29,
741,,2003-2,3,10.5,3,3.29,
742,,2003-1,3,11.25,3,2.65,
743,,2004-1,3,6,3,3.05,
744,,2004-2,12,42,12,3.5,
745,,2003-1,3,4.5,3,2.65,
746,,2003-2,3,12,3,3.29,
747,,2003-2,3,7.5,3,3.29,
748,,2004-1,3,9,3,3.05,
749,,2003-1,3,7.5,3,2.65,
750,,2003-1,3,9,3,2.65,
751,,2006-1,3,10.5,3,3.17,
752,,2006-1,3,7.5,3,3.17,
753,,2006-1,3,10.5,3,3.17,
754,,2011-1,3,0,3,0,
755,,2011-1,3,0,3,0,
756,,2011-1,3,0,3,0,
757,,2000-1,3,9,3,3.13,
758,,2000-1,3,9,3,3.13,
759,,2001-1,3,11.25,3,2.95,
760,,2000-1,3,9,3,3.13,
761,,2000-2,3,10.5,3,3.5,
762,,2001-1,3,7.5,3,2.95,
763,,2002-1,3,10.5,3,3.1,
764,,2000-2,3,9,3,3.5,
765,,2001-2,3,11.25,3,3.29,
766,,2002-1,3,9,3,3.1,
767,,2002-1,3,9,3,3.1,
768,,2002-2,3,12,3,3.67,
769,,2000-2,3,11.25,3,3.5,
770,,2001-1,3,9,3,2.95,
771,,2001-1,3,9,3,2.95,
772,,2001-2,3,11.25,3,3.29,
773,,2001-2,3,11.25,3,3.29,
774,,2002-1,3,7.5,3,3.1,
775,,2001-2,3,9,3,3.29,
776,,2001-2,3,7.5,3,3.29,
777,,2001-2,3,9,3,3.29,
778,,2002-1,3,10.5,3,3.1,
779,,2002-2,12,48,12,3.67,
780,,2000-1,3,10.5,3,3.13,
781,,2000-2,3,11.25,3,3.5,
782,,2001-1,3,7.5,3,2.95,
783,,2002-2,3,6,3,3.67,
784,,2002-1,3,10.5,3,3.38,
785,,2002-1,3,11.25,3,3.38,
786,,2003-1,3,11.25,3,2.44,
787,,2003-1,3,3,3,2.44,
788,,2003-1,4,0,4,2.44,
789,,2003-2,3,6,3,2.8,
790,,2002-1,3,10.5,3,3.38,
791,,2002-1,3,7.5,3,3.38,
792,,2002-2,3,6,3,2.75,
793,,2003-1,3,10.5,3,2.44,
794,,2002-1,3,10.5,3,3.38,
795,,2002-1,3,10.5,3,3.38,
796,,2002-2,3,7.5,3,2.75,
797,,2002-2,3,11.25,3,2.75,
798,,2002-2,3,6,3,2.75,
799,,2003-1,3,4.5,3,2.44,
800,,2003-2,12,36,12,2.8,
801,,2002-2,3,11.25,3,2.75,
802,,2002-2,3,7.5,3,2.75,
803,,2000-1,1,0,1,3.19,
804,,2000-1,3,11.25,3,3.19,
805,,2000-1,3,11.25,3,3.19,
806,,2000-2,3,10.5,3,2.9,
807,,2001-1,3,10.5,3,3.25,
808,,2001-1,3,10.5,3,3.25,
809,,2001-2,0,0,3,3.55,
810,,2001-2,3,12,3,3.55,
811,,2001-2,3,11.25,3,3.55,
812,,2002-1,3,9,3,2.95,
813,,2002-1,3,6,3,2.95,
814,,2002-1,4,12,4,2.95,
815,,2002-2,3,10.5,3,3.19,
816,,2003-1,3,10.5,3,3.13,
817,,2000-1,3,9,3,3.19,
818,,2001-1,3,7.5,3,3.25,
819,,2001-2,3,10.5,3,3.55,
820,,2001-2,3,7.5,3,3.55,
821,,2001-2,0,0,4,3.55,
822,,2002-1,3,9,3,2.95,
823,,2002-2,3,7.5,3,3.19,
824,,2002-2,3,11.25,3,3.19,
825,,2001-1,3,10.5,3,3.25,
826,,2003-1,3,9,3,3.13,
827,,2003-1,3,10.5,3,3.13,
828,,2003-2,12,48,12,3.9,
829,,2000-1,4,12,4,3.19,
830,,2000-2,3,7.5,3,2.9,
831,,2000-3,3,9,3,3,
832,,2001-2,3,12,3,3.55,
833,,2002-1,3,11.25,3,2.95,
834,,2002-2,0,0,3,3.19,
835,,2003-1,3,7.5,3,3.13,
836,,2000-1,3,7.5,3,3.19,
837,,2000-2,3,6,3,2.9,
